Query,,Precision,,,Recall,,,F-Measure,,,Average Precision,,,NDCG,,,Latency,
,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50
14,0.9,0.7,0.36,0.018072289156626505,0.028112449799196786,0.03614457831325301,0.03543307086614173,0.05405405405405405,0.06569343065693431,0.9282627865961199,0.9105460016174302,0.8452862922984874,0.6401401817993273,0.6401401817993273,0.6401401817993273,0.004488945007324219,0.0068819522857666016,0.005724668502807617
15,0.8,0.7,0.56,0.009603841536614645,0.01680672268907563,0.03361344537815126,0.01897983392645314,0.0328253223915592,0.06342015855039637,0.9293650793650793,0.8519920555634839,0.7340835463925384,0,0.23137821315975915,0.23137821315975915,0.005851268768310547,0.006313323974609375,0.008078336715698242
16,0.8,0.85,0.64,0.011782032400589101,0.025036818851251842,0.047128129602356406,0.023222060957910018,0.04864091559370529,0.08779149519890261,0.8385912698412697,0.8512463148458415,0.8092602301214664,0.7310274031738109,0.7215643661888984,0.6372739858449973,0.010009527206420898,0.007830619812011719,0.008436918258666992
17,0.8,0.8,0.58,0.0199501246882793,0.0399002493765586,0.07231920199501247,0.0389294403892944,0.07600950118764845,0.1286031042128603,0.9206845238095237,0.8866508072680674,0.8061919989593836,0.6706028659117457,0.6882147660394186,0.694779784552567,0.010448932647705078,0.009865283966064453,0.011445283889770508
18,0.4,0.65,0.7,0.0106951871657754,0.034759358288770054,0.09358288770053476,0.020833333333333332,0.06598984771573604,0.1650943396226415,0.4928571428571428,0.5416303269512367,0.6378626570462841,0.5912352048230277,0.5758841967471688,0.5952966321929906,0.009814023971557617,0.007769107818603516,0.008558511734008789
19,0.5,0.5,0.48,0.009398496240601503,0.018796992481203006,0.045112781954887216,0.01845018450184502,0.03623188405797101,0.08247422680412371,0.5142857142857142,0.5181318681318681,0.5004339651005808,0.3562071871080222,0.3562071871080222,0.3120973652787813,0.005847454071044922,0.004922389984130859,0.0054247379302978516
20,0.9,0.8,0.74,0.02313624678663239,0.04113110539845758,0.09511568123393316,0.04511278195488722,0.07823960880195599,0.16856492027334855,0.9467813051146384,0.9381529673349526,0.8758229194688651,1.0,0.46557931676623365,0.503931473307158,0.0063436031341552734,0.005870819091796875,0.008431673049926758
21,0.5,0.4,0.46,0.009041591320072333,0.014466546112115732,0.04159132007233273,0.017761989342806397,0.027923211169284465,0.07628524046434494,0.6222222222222221,0.5799339549339549,0.5116964750504893,0.7693680734541763,0.7123506853110115,0.6432265323753098,0.00757288932800293,0.006136178970336914,0.006781578063964844
22,0.7,0.7,0.56,0.016867469879518072,0.033734939759036145,0.06746987951807229,0.03294117647058824,0.06436781609195402,0.12043010752688173,0.604251700680272,0.6733518833861601,0.6508807041294576,0.3562071871080222,0.3174089469280586,0.3621490118271595,0.0084381103515625,0.006663322448730469,0.007290840148925781
23,0.5,0.65,0.54,0.01272264631043257,0.03307888040712468,0.06870229007633588,0.02481389578163772,0.06295399515738498,0.1218961625282167,0.6833333333333333,0.6487760354276192,0.640144829230715,0.3333333333333333,0.30917726666118645,0.3340808330420337,0.005636453628540039,0.004639625549316406,0.006457805633544922
24,0.9,0.75,0.6,0.021739130434782608,0.036231884057971016,0.07246376811594203,0.04245283018867925,0.06912442396313365,0.12931034482758622,0.9282627865961199,0.9019288119288119,0.7812197105794018,0.7466041555227104,0.7164664202373403,0.6935294882487943,0.0065898895263671875,0.004624843597412109,0.0054476261138916016
25,0.5,0.55,0.56,0.008090614886731391,0.01779935275080906,0.045307443365695796,0.01592356687898089,0.03448275862068966,0.08383233532934131,0.5253968253968253,0.5226140419920323,0.5803565356846146,0,0,0.21136272630718922,0.005765676498413086,0.0047321319580078125,0.005419731140136719
26,0.8,0.65,0.44,0.015267175572519083,0.02480916030534351,0.04198473282442748,0.029962546816479398,0.04779411764705883,0.07665505226480836,0.9206845238095237,0.856353532088826,0.7337378230692106,0.8546958095996574,0.8441659685387378,0.7883838440503922,0.008296489715576172,0.00828695297241211,0.009212732315063477
27,0.9,0.8,0.64,0.020454545454545454,0.03636363636363636,0.07272727272727272,0.04,0.06956521739130435,0.13061224489795917,0.9888888888888889,0.9495682626197333,0.8157719514284266,0.877813347403595,0.8246848748258581,0.7979422291296577,0.005078315734863281,0.005060434341430664,0.005542755126953125
28,0.8,0.45,0.18,0.03619909502262444,0.04072398190045249,0.04072398190045249,0.06926406926406928,0.07468879668049792,0.06642066420664207,0.9415178571428571,0.9083333333333332,0.9083333333333332,0.9632632677898961,0.9586321122398372,0.9586321122398372,0.00467991828918457,0.00457453727722168,0.0061833858489990234
29,0.7,0.8,0.72,0.016666666666666666,0.0380952380952381,0.08571428571428572,0.03255813953488372,0.07272727272727274,0.15319148936170213,0.6448979591836734,0.7259916401000961,0.7587640607330067,0.725411008719435,0.7374795820231397,0.7369442245005652,0.006200075149536133,0.006420612335205078,0.007451772689819336
30,0.9,0.9,0.44,0.027777777777777776,0.05555555555555555,0.06790123456790123,0.05389221556886227,0.10465116279069767,0.1176470588235294,0.9060405643738976,0.9103461150610274,0.901844795376364,0.7360602934159809,0.6692783739010676,0.6604325806028057,0.004472255706787109,0.0045778751373291016,0.005440473556518555
31,0.4,0.5,0.54,0.006482982171799027,0.01620745542949757,0.04376012965964344,0.012759170653907496,0.031397174254317116,0.08095952023988007,0.5333333333333333,0.5109066372224267,0.5068546686994412,1.0,1.0,0.7293006082363692,0.010267019271850586,0.011319875717163086,0.013169288635253906
32,0.9,0.85,0.86,0.015384615384615385,0.02905982905982906,0.0735042735042735,0.03025210084033613,0.05619834710743802,0.13543307086614173,0.9060405643738976,0.8893431913601282,0.8779413901693683,0,0,0,0.004980564117431641,0.006358623504638672,0.0060155391693115234
33,0.8,0.65,0.66,0.018475750577367205,0.03002309468822171,0.07621247113163972,0.03611738148984198,0.057395143487858714,0.13664596273291924,0.8522817460317459,0.809213009213009,0.7228878757600709,0.6415537323287483,0.6415537323287483,0.49675465966572324,0.008326530456542969,0.010763883590698242,0.010796785354614258
34,0.4,0.35,0.38,0.011299435028248588,0.01977401129943503,0.05367231638418079,0.021978021978021976,0.03743315508021391,0.09405940594059406,0.40208333333333335,0.39856302845024644,0.4219253769698061,0,0,0,0.004971981048583984,0.007267475128173828,0.005963563919067383
35,0.5,0.45,0.38,0.017064846416382253,0.030716723549488054,0.06484641638225255,0.033003300330033,0.05750798722044728,0.1107871720116618,0.3543650793650793,0.42414221580888245,0.4281938941995919,0.3010299956639812,0.2818397653505874,0.2818397653505874,0.006768226623535156,0.008707284927368164,0.007342815399169922
36,0.9,0.85,0.66,0.03225806451612903,0.06093189964157706,0.11827956989247312,0.06228373702422146,0.11371237458193979,0.20060790273556234,0.7856701940035273,0.8418456629369943,0.8095367469106461,0.8468087963098475,0.8642360700552194,0.8591476015788522,0.0050351619720458984,0.005295515060424805,0.005743503570556641
37,0.8,0.6,0.5,0.022598870056497175,0.03389830508474576,0.07062146892655367,0.04395604395604395,0.0641711229946524,0.12376237623762378,0.822767857142857,0.7800128384687207,0.652465587000561,0.7423780784345493,0.7303417122372504,0.7184215098278655,0.005798816680908203,0.006690025329589844,0.00689244270324707
38,0.2,0.2,0.24,0.009174311926605505,0.01834862385321101,0.05504587155963303,0.017543859649122806,0.03361344537815126,0.08955223880597016,0.1736111111111111,0.17627923976608184,0.2268590688546829,0.32737718115079845,0.3120081812205399,0.3136093757738988,0.0063323974609375,0.007333040237426758,0.0066070556640625
39,0.9,0.85,0.46,0.09375,0.17708333333333334,0.23958333333333334,0.169811320754717,0.29310344827586204,0.31506849315068497,0.9060405643738976,0.9077107654279389,0.8575706603136389,0.9175743265150557,0.8911725507313398,0.8797106702142098,0.0017397403717041016,0.0022864341735839844,0.0021440982818603516
40,0.7,0.7,0.64,0.017456359102244388,0.034912718204488775,0.0798004987531172,0.034063260340632597,0.06650831353919238,0.14190687361419066,0.6899659863945579,0.6934178293449633,0.6801948199453186,0.5462928447413586,0.4742143419851144,0.5182880130248723,0.006149768829345703,0.007668256759643555,0.006831169128417969
41,0.1,0.05,0.02,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.03125,0.02702702702702703,0.01923076923076923,0.25,0.25,0.25,0,0,0,0.0006923675537109375,0.0008871555328369141,0.0008051395416259766
42,0.4,0.3,0.34,0.06779661016949153,0.1016949152542373,0.288135593220339,0.11594202898550726,0.1518987341772152,0.3119266055045872,0.31726190476190474,0.3705988455988456,0.37775988192303456,0,0,0,0.0006597042083740234,0.0009121894836425781,0.0007352828979492188
43,0.2,0.2,0.18,0.044444444444444446,0.08888888888888889,0.2,0.07272727272727272,0.12307692307692307,0.1894736842105263,0.26666666666666666,0.24658119658119657,0.2078837833574137,0,0,0,0.0013129711151123047,0.0016696453094482422,0.0014257431030273438
44,0.4,0.45,0.36,0.03125,0.0703125,0.140625,0.057971014492753624,0.12162162162162163,0.20224719101123595,0.4861111111111111,0.48685820925243006,0.43654945850554827,0.7034069293659758,0.6933590458875054,0.6659382845467037,0.009274005889892578,0.011179208755493164,0.01079869270324707
45,0.5,0.45,0.3,0.06756756756756757,0.12162162162162163,0.20270270270270271,0.11904761904761905,0.19148936170212766,0.24193548387096778,0.6295238095238095,0.583202853791089,0.5090922976472848,0.7722349873850949,0.7449505991990684,0.7175987075757888,0.01001882553100586,0.013380050659179688,0.010730504989624023
46,0.6,0.6,0.54,0.0759493670886076,0.1518987341772152,0.34177215189873417,0.13483146067415733,0.24242424242424243,0.41860465116279066,0.6801587301587301,0.6578774904432799,0.641790359361058,0.6666666666666666,0.6666666666666666,0.5688636617522215,0.004701852798461914,0.0061342716217041016,0.006198883056640625
47,0.3,0.2,0.18,0.0625,0.08333333333333333,0.1875,0.10344827586206896,0.11764705882352941,0.1836734693877551,0.33730158730158727,0.31547619047619047,0.25843147664359833,0.45993200392091416,0.4638365590408898,0.45280330345040704,0.0033397674560546875,0.004309654235839844,0.0037255287170410156
48,0.4,0.4,0.3,0.10256410256410256,0.20512820512820512,0.38461538461538464,0.163265306122449,0.27118644067796605,0.33707865168539325,0.33878968253968256,0.40954635642135645,0.38515074021257867,0.465318977537224,0.5209576169006144,0.5117728863386249,0.005003929138183594,0.006174802780151367,0.005522966384887695
49,0.1,0.2,0.14,0.005494505494505495,0.02197802197802198,0.038461538461538464,0.01041666666666667,0.03960396039603961,0.0603448275862069,0.1111111111111111,0.15332602339181287,0.16403065812998183,0.31546487678572877,0.2887795556460319,0.2887795556460319,0.004800081253051758,0.005883693695068359,0.0060272216796875
50,0.5,0.35,0.28,0.025,0.035,0.07,0.047619047619047616,0.06363636363636364,0.112,0.6592857142857144,0.6014720242163852,0.47028167105669266,0.5,0.5,0.5,0.008717060089111328,0.010638713836669922,0.009368419647216797
mean,0.5879999999999999,0.556,0.4632,0.023514427319786063,0.0433800960295758,0.0873205886967957,0.04317776058138266,0.07448228118845421,0.12815815501310918,0.6404095993953135,0.6309165270474001,0.5929735707244262,0.5066382922323432,0.4897213454950306,0.4872174995871205,0.006266236305236816,0.006647706031799316,0.0068618059158325195
