Query,,Precision,,,Recall,,,F-Measure,,,Average Precision,,,NDCG,,,Latency,
,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50
1,0.7,0.8,0.74,0.010752688172043012,0.02457757296466974,0.05683563748079877,0.021180030257186084,0.04769001490312965,0.10556348074179743,0.7035714285714285,0.7460605777628805,0.7795718593678064,0.45343403736416005,0.4688300279370153,0.5680647872863078,0.006891012191772461,0.006789684295654297,0.006859779357910156
2,1.0,1.0,0.84,0.01838235294117647,0.03676470588235294,0.07720588235294118,0.03610108303249098,0.07092198581560283,0.1414141414141414,1.0,1.0,0.9622249512801013,0.38685280723454163,0.3426071593918307,0.42060837577001203,0.014918327331542969,0.015259981155395508,0.015423297882080078
3,0.9,0.8,0.78,0.01347305389221557,0.023952095808383235,0.058383233532934134,0.026548672566371685,0.04651162790697675,0.10863509749303621,0.9765432098765433,0.9336196370493972,0.8779462835415618,0.4513997833584274,0.46323056202667184,0.5498770925674199,0.009517192840576172,0.009738445281982422,0.01111602783203125
4,0.6,0.45,0.36,0.012048192771084338,0.018072289156626505,0.03614457831325301,0.023622047244094488,0.03474903474903475,0.06569343065693431,0.9444444444444445,0.8122275385433281,0.633830727715326,0.43067655807339306,0.43067655807339306,0.2980568324178277,0.006772279739379883,0.006814479827880859,0.007819414138793945
5,0.6,0.6,0.4,0.010033444816053512,0.020066889632107024,0.033444816053511704,0.019736842105263157,0.03883495145631068,0.06172839506172839,0.9583333333333334,0.7876963099679818,0.6687634707274113,0.6666666666666666,0.5375380791117934,0.5220304257505987,0.008086681365966797,0.008320093154907227,0.009377479553222656
6,0.7,0.65,0.6,0.01338432122370937,0.0248565965583174,0.05736137667304015,0.02626641651031895,0.04788213627992633,0.10471204188481675,0.8444444444444443,0.7846920738889065,0.6922950876532039,0.8320131521993808,0.8178058616569117,0.7884934343707494,0.016592741012573242,0.0147247314453125,0.01585221290588379
7,0.8,0.8,0.66,0.014109347442680775,0.02821869488536155,0.0582010582010582,0.027729636048526865,0.054514480408858604,0.10696920583468394,0.8338789682539682,0.8315945852178439,0.7860879603226335,0.5135507294731864,0.5206309205535675,0.5165383873174675,0.011379003524780273,0.00998544692993164,0.011797904968261719
8,0.7,0.5,0.34,0.011945392491467578,0.017064846416382253,0.02901023890784983,0.023489932885906045,0.033003300330033,0.053459119496855355,0.7857142857142857,0.7322222222222222,0.6296048190133867,0.5317309468254161,0.5317309468254161,0.5317309468254161,0.011429309844970703,0.010070085525512695,0.011139631271362305
9,0.8,0.7,0.52,0.014311270125223614,0.025044722719141325,0.046511627906976744,0.0281195079086116,0.048359240069084625,0.08538587848932676,0.9861111111111112,0.8757508573298046,0.7547074419253614,0.9203032077642922,0.9203032077642922,0.8024109130711903,0.006387948989868164,0.005506038665771484,0.007792472839355469
10,0.8,0.85,0.58,0.03361344537815126,0.07142857142857142,0.12184873949579832,0.06451612903225806,0.1317829457364341,0.2013888888888889,0.8951388888888888,0.8778569591035446,0.8114783741910844,0.8899560090315474,0.8722426533213734,0.8586090103810899,0.013630151748657227,0.008181095123291016,0.008859872817993164
11,0.5,0.3,0.18,0.008771929824561403,0.010526315789473684,0.015789473684210527,0.017241379310344827,0.02033898305084746,0.029032258064516134,0.835,0.7791666666666667,0.5866440568475453,0,0,0,0.009134054183959961,0.007773876190185547,0.0088958740234375
